"","p","q","p_value"
"1",69.237563770242,49781.808350804,0.356731896155675
"2",66.304158678048,47672.6900895165,0.223537024520294
"3",62.7945914855273,45149.3112780941,0.187777982327563
"4",61.2285567361258,44023.3322932744,0.61843451549145
"5",68.2223776277003,49051.8895143165,0.545697279589752
"6",65.9328842971179,47405.7438096278,0.641174535465681
"7",72.5518495597185,52164.7798334376,0.77888131628619
"8",72.4273785214846,52075.2851569474,0.450301717792574
"9",72.1345918327282,51864.7715277315,0.133840801149314
"10",63.9263600789352,45963.0528967544,0.481858518572726
"11",75.3370640359133,54167.3490418217,0.765248077356821
"12",74.3213196449925,53437.0288247496,0.197500212288905
"13",74.0257146335231,53224.4888215031,0.317113019456837
"14",71.5087631045426,51414.8006721661,0.768570670881019
"15",68.7207647766932,49410.2298744424,0.339818405017801
"16",66.4237491964598,47758.6756722546,0.4848532825551
"17",68.3705929522209,49158.4563326468,0.833252763167577
"18",69.0745419244176,49664.5956436562,0.517649509246874
"19",66.8134809028511,48038.8927691499,0.981828717562461
"20",79.1362619968802,56898.9723757568,0.680036927720173
"21",70.0927258666436,50396.6698981167,0.425790565537377
"22",66.7490663604632,47992.5787131731,0.137599921161686
"23",71.1764804381052,51175.8894349976,0.807372524056609
"24",65.1045703186066,46810.1860590781,0.706649072681288
"25",66.6206091613175,47900.2179869873,0.00580968343556942
"26",65.4838867721027,47082.9145891419,0.679727433237273
"27",63.898040669124,45942.6912411002,0.27633069136503
"28",67.3228318189178,48405.1160778019,0.759204862959027
"29",65.0703047891424,46785.5491433934,0.507446618029026
"30",78.4405178124458,56398.7323071485,0.932214534630902
"31",63.0048821572789,45300.5102710835,0.407578793747732
"32",72.3456427559895,52016.5171415564,0.710804141405325
"33",69.243103419646,49785.7913587255,0.899559665595809
"34",66.5847296972178,47874.4206522996,0.525855064485305
"35",63.7920659738218,45866.4954351779,0.559592542802789
"36",67.0593941421378,48215.7043881971,0.75106617082016
"37",66.0158692218991,47465.4099705455,0.244292485375658
"38",63.6442905688099,45760.2449189743,0.86244844046824
"39",69.7875092239851,50177.2191320453,0.43441352739932
"40",61.9606264398082,44549.6904102221,0.662379079708276
"41",62.8128218897475,45162.4189387285,0.324848968036095
"42",66.3575394786942,47711.0708851811,0.966267165657213
"43",72.5822732742488,52186.6544841849,0.497089957326792
"44",66.3778976371266,47725.708401094,0.143152093135364
"45",73.0540414699504,52525.8558168943,0.731554651197709
"46",68.9013131203638,49540.0441335416,0.594974628897845
"47",67.8054598531221,48752.1256343948,0.0341779463240526
"48",66.2407219760337,47627.0791007683,0.695704372739797
"49",70.4837614794673,50677.824503737,0.34538001408309
"50",64.3183130296849,46244.8670683435,0.693211287451827
"51",67.7948366465325,48744.4875488568,0.620677140195492
"52",69.8156583151276,50197.4583285768,0.00949012816366968
"53",73.0663769166667,52534.7250030834,0.0155153838351549
"54",64.6836621744799,46507.553103451,0.531529003661513
"55",71.4497262423452,51372.3531682462,0.875806839458713
"56",69.8128423842098,50195.4336742469,0.403509815285135
"57",74.680465786114,53695.2549002159,0.476678478629408
"58",74.9618496875879,53897.5699253757,0.74114020627685
"59",69.6246910656075,50060.1528761718,0.413617079396687
"60",67.7789080763941,48733.0349069273,0.815098740939953
"61",66.9919118380317,48167.1846115448,0.562916269714018
"62",68.9781963151537,49595.3231505955,0.6275695442544
"63",69.9765427366155,50313.1342276266,0.862311313167418
"64",72.6371003070822,52226.0751207921,0.76965191355108
"65",62.4299409416492,44887.1275370458,0.75488448685064
"66",66.6590943773753,47927.8888573328,0.077537146562268
"67",69.3124239045361,49835.6327873614,0.702823778097046
"68",63.0163513583344,45308.7566266425,0.725373999518503
"69",73.2984402963476,52701.578573074,0.250828721738436
"70",81.3339522743525,58479.1116852594,0.932629901247255
"71",76.7875776478607,55210.2683288119,0.0473277801508944
"72",69.496098624985,49967.6949113642,0.510508773003681
"73",65.5409176130335,47123.9197637711,0.0487465775137814
"74",70.9896511088043,51041.5591472303,0.226921775686241
"75",66.7645145208934,48003.6859405223,0.587677891775109
"76",67.6676173146891,48653.0168492615,0.348190854253696
"77",77.4230035525471,55667.1395542813,0.757469172995634
"78",66.3371938039013,47696.442345005,0.661265840959981
"79",73.3357073001159,52728.3735487834,0.47907497396012
"80",70.4321357600834,50640.7056115,0.518344068624946
"81",70.480891398587,50675.7609155841,0.888228594007936
"82",61.8985837551406,44505.0817199461,0.532698019967497
"83",64.4140568140201,46313.7068492805,0.895845362057301
"84",65.4442716447172,47054.4313125516,0.192244128415531
"85",70.7430294564482,50864.2381791862,0.00479678548007278
"86",65.1953031755143,46875.4229831948,0.627885069469583
"87",72.4667986835366,52103.6282534628,0.264778367784498
"88",65.8776768208808,47366.0496342133,0.703547550024252
"89",65.2912146822308,46944.383356524,0.842236456148816
"90",70.3148256829893,50556.3596660693,0.341558399490378
"91",69.5212206264887,49985.7576304453,0.804602719315572
"92",75.0528615964345,53963.0074878364,0.364734688934055
"93",75.6267311774136,54375.6197165604,0.722738511432878
"94",65.4962763366391,47091.8226860435,0.152006297187508
"95",68.6009239615926,49324.0643283851,0.717694106443474
"96",73.9087611603089,53140.3992742621,0.842758071018324
"97",69.3401909761343,49855.5973118406,0.976807534802349
"98",78.5401781361739,56470.388079909,0.407650714057977
"99",66.5003093887507,47813.7224505117,0.242574935328073
"100",74.9618496875879,53897.5699253757,0.661606112854224
